FIPS,City,Year,Population,Primary Point
1955965,Newell,July 01 2001,872,POINT (-95.0039777 42.609682)
1952050,Miles,July 01 2017,441,POINT (-90.3150838 42.048783)
1949575,Marne,July 01 1994,150,POINT (-95.1107615 41.4489055)
1958890,Olds,July 01 1992,194,POINT (-91.544229 41.1341655)
1904825,Batavia,April 01 1990,520,POINT (-92.1673927 40.9951023)
1909550,Burlington,July 01 2016,25120,POINT (-91.1248966 40.8071958)
1966045,Redfield,April 01 2010,835,POINT (-94.1961117 41.5906044)
1942465,Lake City,July 01 2004,1686,POINT (-94.7310464 42.2676372)
1973650,Smithland,July 01 2011,225,POINT (-95.9311714 42.2289603)
1966585,Riceville,July 01 2017,763,POINT (-92.5541081 43.362157)
1975135,State Center,July 01 1993,1282,POINT (-93.1652582 42.0148885)
1945390,Linden,July 01 2016,203,POINT (-94.2699847 41.6427085)
1948990,Manson,July 01 2015,1612,POINT (-94.5401543 42.5283851)
1936480,Hinton,July 01 1996,769,POINT (-96.2974754 42.6212975)
1986970,Woodward,July 01 2005,1332,POINT (-93.9208014 41.8522961)
1931350,Glenwood,July 01 2017,5316,POINT (-95.7407754 41.0445208)
1976620,Swaledale,July 01 2006,169,POINT (-93.3154698 42.9765243)
1983685,West Burlington,July 01 2004,3252,POINT (-91.1763695 40.8218381)
1913080,Cherokee,July 01 2017,4907,POINT (-95.5525761 42.7508555)
1947775,McCallsburg,July 01 1993,291,POINT (-93.3906852 42.1648558)
1907480,Boone,July 01 2009,12479,POINT (-93.8773237 42.0530404)
1959070,Ollie,July 01 1994,213,POINT (-92.0923057 41.1991478)
1938415,Inwood,April 01 2010,814,POINT (-96.4350789 43.3092965)
1939225,Jamaica,July 01 2003,235,POINT (-94.3069709 41.8452279)
1961365,Panorama Park,July 01 2002,131,POINT (-90.4536976 41.5556125)
1987375,Yetter,July 01 1991,49,POINT (-94.8431642 42.3161325)
1951060,Melvin,July 01 1998,226,POINT (-95.608646 43.2864738)
1982065,Walnut,July 01 2009,721,POINT (-95.2204992 41.4884727)
1921900,Doon,July 01 2014,602,POINT (-96.2317488 43.2787854)
1964560,Prescott,April 01 1990,287,POINT (-94.6129796 41.0238035)
1954840,Mount Vernon,July 01 2015,4458,POINT (-91.4243495 41.9229756)
1953850,Moorhead,April 01 2010,226,POINT (-95.850715 41.9243406)
1908605,Britt,July 01 2011,2065,POINT (-93.8031592 43.0974978)
1965730,Rathbun,July 01 2001,87,POINT (-92.8871405 40.8016943)
1924465,Eldora,July 01 1997,2958,POINT (-93.1012867 42.3605951)
1945660,Liscomb,July 01 2006,266,POINT (-93.0061716 42.1910286)
1978600,Toronto,July 01 2001,133,POINT (-90.8627574 41.9028894)
1969465,Ryan,July 01 2006,372,POINT (-91.4851389 42.3524086)
1938640,Iowa Falls,July 01 1995,5392,POINT (-93.2661847 42.5190554)
1956550,New Vienna,July 01 1992,382,POINT (-91.1138852 42.5477204)
1943275,Lansing,July 01 2017,939,POINT (-91.2258567 43.3606897)
1908425,Bridgewater,July 01 1995,168,POINT (-94.6689384 41.2470992)
1954435,Mount Auburn,July 01 1991,142,POINT (-92.094317 42.2574343)
1934455,Hardy,July 01 2007,89,POINT (-94.0511447 42.8101495)
1913080,Cherokee,April 01 1990,6026,POINT (-95.5525761 42.7508555)
1961815,Paton,July 01 2013,233,POINT (-94.2550567 42.1642219)
1934545,Harper,July 01 2007,114,POINT (-92.0509513 41.3636709)
1933105,Grinnell,July 01 2019,9116,POINT (-92.7244148 41.7372767)
1966855,Ricketts,July 01 1997,116,POINT (-95.5749041 42.1280902)
1973650,Smithland,July 01 2014,225,POINT (-95.9311714 42.2289603)
1934680,Hartford,April 01 2000,759,POINT (-93.4052141 41.4577051)
1977340,Templeton,July 01 1991,318,POINT (-94.9415676 41.9181145)
1934725,Hartley,July 01 2011,1655,POINT (-95.4767498 43.1790472)
1974775,St. Donatus,July 01 2016,130,POINT (-91.4457379 42.0529659)
1974775,St. Anthony,July 01 2002,109,POINT (-91.4457379 42.0529659)
1923970,Eddyville,July 01 2004,1065,POINT (-92.6297911 41.1592059)
1931575,Goodell,July 01 2012,138,POINT (-93.614062 42.9237297)
1949620,Marquette,July 01 2011,442,POINT (-91.1905647 43.0446015)
1902845,Arlington,July 01 1994,481,POINT (-91.6710476 42.7487868)
1934005,Hancock,July 01 2016,196,POINT (-95.3636607 41.3921947)
1947505,Luzerne,July 01 1991,94,POINT (-92.1802573 41.9057019)
1985710,Willey,July 01 1996,76,POINT (-94.8223651 41.9787458)
1905140,Beaman,July 01 2003,195,POINT (-92.822187 42.2202167)
1925500,Emerson,July 01 1995,469,POINT (-95.4027422 41.018044)
1912270,Center Point,April 01 1990,1693,POINT (-91.7794373 42.1843009)
1929550,Galt,July 01 2002,29,POINT (-93.6051275 42.692983)
1945390,Linden,July 01 1994,218,POINT (-94.2699847 41.6427085)
1917670,Crystal Lake,July 01 2012,245,POINT (-93.792707 43.2229779)
1901090,Alexander,July 01 1991,170,POINT (-93.4786472 42.8044201)
1943005,Lamont,July 01 2016,458,POINT (-91.6404271 42.5985649)
1930675,Gilbertville,July 01 2009,742,POINT (-92.2141932 42.4189896)
1961365,Panorama Park,April 01 1990,127,POINT (-90.4536976 41.5556125)
1934455,Hardy,July 01 2013,46,POINT (-94.0511447 42.8101495)
1929595,Galva,July 01 2002,351,POINT (-95.4177423 42.5059144)
1958620,Oelwein,July 01 1994,6918,POINT (-91.9131952 42.6713674)
1974775,St. Anthony,April 01 2000,109,POINT (-91.4457379 42.0529659)
1930675,Gilbertville,July 01 2015,751,POINT (-92.2141932 42.4189896)
1923970,Eddyville,July 01 2002,1066,POINT (-92.6297911 41.1592059)
1926895,Farmington,April 01 1990,655,POINT (-91.7390137 40.6388538)
1928515,Fort Dodge,July 01 2009,25083,POINT (-94.175105 42.5097987)
1941520,Kirkman,April 01 2000,76,POINT (-95.2672884 41.7280558)
1916230,Coralville,July 01 1996,12638,POINT (-91.5968051 41.6989902)
1910090,Calumet,July 01 1999,150,POINT (-95.5515151 42.9449608)
1906085,Bernard,April 01 2000,97,POINT (-90.8317558 42.3132971)
1907075,Blue Grass,July 01 2006,1313,POINT (-90.7648763 41.5095767)
1982065,Walnut,July 01 2018,774,POINT (-95.2204992 41.4884727)
1917670,Crystal Lake,July 01 2004,271,POINT (-93.792707 43.2229779)
1909820,Calamus,July 01 1991,379,POINT (-90.7600146 41.8264945)
1921270,Diagonal,July 01 1994,300,POINT (-94.3421119 40.8104671)
1921360,Dickens,July 01 1993,215,POINT (-95.0223206 43.1339372)
1972525,Shenandoah,July 01 1999,5515,POINT (-95.3720582 40.7583016)
1943275,Lansing,July 01 1998,1015,POINT (-91.2258567 43.3606897)
1928920,Fraser,July 01 1996,119,POINT (-93.9734887 42.1250435)
1938820,Ireton,July 01 1998,629,POINT (-96.3217494 42.974898)
1968520,Rolfe,July 01 2001,661,POINT (-94.5313396 42.8129005)
1942330,Ladora,July 01 1999,331,POINT (-92.1859015 41.755506)
1940440,Kellogg,July 01 2009,593,POINT (-92.9070787 41.7180274)
1940260,Kanawha,July 01 2013,632,POINT (-93.7932443 42.9341778)
1902350,Anthon,July 01 2003,638,POINT (-95.8656328 42.3881341)
1973290,Sioux Center,July 01 2001,6227,POINT (-96.1707089 43.0746484)
1953490,Montezuma,July 01 2001,1449,POINT (-92.5273821 41.5833762)
1943050,La Motte,July 01 2017,257,POINT (-90.6234291 42.2957342)
1931800,Graettinger,July 01 1994,795,POINT (-94.7504243 43.2370707)
1901270,Allerton,July 01 2006,543,POINT (-93.3689153 40.7076938)
1973065,Sidney,July 01 2018,1044,POINT (-95.6442994 40.7459494)
1945840,Little Sioux,July 01 2002,211,POINT (-96.0274587 41.8082038)
1906040,Berkley,July 01 1999,37,POINT (-94.113648 41.9464164)
1937605,Humeston,July 01 1994,568,POINT (-93.4972195 40.8609187)
1953895,Moorland,July 01 1992,274,POINT (-94.2954106 42.4413943)
1942465,Lake City,July 01 1995,1848,POINT (-94.7310464 42.2676372)
1960420,Ottosen,July 01 2006,47,POINT (-94.3755469 42.8980883)
1934545,Harper,April 01 2010,114,POINT (-92.0509513 41.3636709)
1903115,Arthur,July 01 2003,230,POINT (-95.3469405 42.3353614)
1956325,New London,July 01 2005,1844,POINT (-91.4011156 40.9231717)
1911395,Casey,July 01 2004,417,POINT (-94.5212707 41.5074602)
1921720,Donahue,July 01 1998,341,POINT (-90.6746301 41.6915346)
1909730,Bussey,July 01 2001,450,POINT (-92.8842719 41.2057508)
1976260,Sumner,July 01 2008,1981,POINT (-92.0974233 42.8494642)
1900955,Albion,July 01 1998,561,POINT (-92.9887407 42.1125257)
1921675,Dolliver,July 01 1993,102,POINT (-94.6143179 43.4638362)
1983415,Wesley,July 01 1992,450,POINT (-93.9936857 43.0886724)
1928425,Fort Atkinson,July 01 1991,367,POINT (-91.9347752 43.144115)
1935760,Hepburn,July 01 2017,17,POINT (-95.0166861 40.8476568)
1919180,Dayton,April 01 1990,818,POINT (-94.0711394 42.262259)
1945255,Lincoln,July 01 1995,189,POINT (-92.6913872 42.2634642)
1980130,Vail,July 01 2014,431,POINT (-95.2003198 42.0598224)
1922620,Dumont,July 01 2017,612,POINT (-92.9735076 42.7521928)
1929055,Fredonia,July 01 2005,223,POINT (-91.3393851 41.284514)
1951375,Merrill,July 01 1996,765,POINT (-96.2524909 42.7205507)
1928245,Fonda,July 01 2017,592,POINT (-94.8459417 42.581696)
1975135,State Center,April 01 2010,1468,POINT (-93.1652582 42.0148885)
1962445,Persia,July 01 2014,300,POINT (-95.5704116 41.5785892)
1978060,Tiffin,July 01 2009,1882,POINT (-91.658392 41.7067521)
1969690,Sageville,July 01 2007,215,POINT (-90.7061464 42.5489155)
1919450,Dedham,July 01 1998,262,POINT (-94.8232369 41.9087315)
1916815,Coulter,July 01 2016,266,POINT (-93.3700471 42.73312)
1912990,Chelsea,July 01 1995,347,POINT (-92.3945142 41.9204989)
1971895,Shambaugh,April 01 2010,191,POINT (-95.0352465 40.6574753)
1972345,Sheldahl,July 01 1995,311,POINT (-93.6967164 41.8642901)
1903295,Ashton,July 01 2016,430,POINT (-95.7924931 43.308844)
1940170,Kalona,July 01 2009,2532,POINT (-91.7018231 41.4873802)
1945840,Little Sioux,April 01 1990,205,POINT (-96.0274587 41.8082038)
1918255,Dallas Center,July 01 1998,1681,POINT (-93.9816407 41.6854114)
1947865,McClelland,July 01 1993,142,POINT (-95.68343 41.3284733)
1983055,Webster,July 01 2017,70,POINT (-92.1715154 41.4378773)
1933465,Guttenberg,July 01 2017,1826,POINT (-91.1059046 42.7887133)
1974955,Stanley,July 01 1995,111,POINT (-91.8123104 42.6416487)
1978330,Titonka,July 01 2003,551,POINT (-94.0413989 43.2371658)
1930810,Gillett Grove,July 01 2008,54,POINT (-95.0366368 43.0167093)
1980985,Villisca,July 01 2016,1172,POINT (-94.9819234 40.9298265)
1957045,Northboro,July 01 2009,54,POINT (-95.2936381 40.6080172)
1905185,Beaver,July 01 2002,52,POINT (-94.139911 42.0382078)
1980175,Valeria,July 01 2012,56,POINT (-93.3255658 41.7297895)
1973335,Sioux City,July 01 1996,84105,POINT (-96.3901359 42.4958196)
1977430,Tennant,July 01 2004,71,POINT (-95.4449352 41.5941155)
1960240,Oto,July 01 1999,141,POINT (-95.8945487 42.2820807)
1915240,Colo,July 01 2008,866,POINT (-93.3185991 42.014482)
1970320,Salix,July 01 2005,386,POINT (-96.3158764 42.3206398)
1969375,Rutland,April 01 1990,149,POINT (-94.2951894 42.7614337)
1954165,Morrison,July 01 1993,121,POINT (-92.6732838 42.3429631)
1914475,Clio,July 01 1996,99,POINT (-93.4513925 40.6359742)
1957225,North English,July 01 1998,1017,POINT (-92.0776314 41.5164005)
1981120,Vining,July 01 2016,49,POINT (-92.3875202 41.990983)
1925815,Essex,July 01 1991,878,POINT (-95.3038067 40.832679)
1937155,Hopkinton,July 01 2007,646,POINT (-91.248661 42.3431218)
1950880,Melbourne,April 01 2000,794,POINT (-93.1026156 41.9415478)
1975990,Stuart,July 01 1991,1538,POINT (-94.3186774 41.5002688)
1954705,Mount Sterling,July 01 2001,40,POINT (-91.5452743 40.9621765)
1941520,Kirkman,July 01 2005,74,POINT (-95.2672884 41.7280558)
1970230,Salem,July 01 1998,468,POINT (-91.6206406 40.8519773)
1915105,College Springs,July 01 2007,232,POINT (-95.1211184 40.6212901)
1966360,Rembrandt,July 01 2003,221,POINT (-95.1656104 42.8257187)
1919000,Davenport,July 01 1997,97676,POINT (-90.6051955 41.5557666)
1948900,Manly,July 01 1999,1316,POINT (-93.2009752 43.2880706)
1948495,Magnolia,July 01 2003,195,POINT (-95.8741284 41.6921843)
1940440,Kellogg,July 01 1997,701,POINT (-92.9070787 41.7180274)
1910135,Camanche,July 01 2014,4362,POINT (-90.2766777 41.7927587)
1919090,Davis City,July 01 2013,190,POINT (-93.8126017 40.6401518)
1944580,Le Roy,July 01 2015,14,POINT (-93.5924703 40.8783629)
1916860,Council Bluffs,July 01 2007,59944,POINT (-95.8520558 41.2368193)
1979680,Unionville,July 01 2002,126,POINT (-92.6957756 40.8181841)
1949755,Marshalltown,July 01 2008,25790,POINT (-92.9066945 42.0341021)
1949305,Marble Rock,April 01 1990,361,POINT (-92.8683374 42.9647201)
1979905,Urbana,July 01 1996,787,POINT (-91.887274 42.2284093)
1974460,Spragueville,July 01 1992,119,POINT (-90.4320591 42.0717247)
1901180,Alleman,July 01 2001,438,POINT (-93.6094604 41.8158459)
1964560,Prescott,July 01 1993,265,POINT (-94.6129796 41.0238035)
1934455,Hardy,July 01 1998,41,POINT (-94.0511447 42.8101495)
1969015,Rowan,July 01 2007,197,POINT (-93.5504173 42.7391166)
1922395,Dubuque,July 01 2004,57302,POINT (-90.7066112 42.5006649)
1968475,Roland,July 01 1994,1041,POINT (-93.5028373 42.1660381)
1938460,Ionia,July 01 2014,285,POINT (-92.4584186 43.0360537)
1902125,Andrew,July 01 2018,409,POINT (-90.5919309 42.153216)
1909280,Buffalo Center,July 01 2011,896,POINT (-93.9428112 43.3893894)
1918435,Danville,July 01 2013,935,POINT (-91.3145579 40.8600374)
1975450,Stockton,July 01 2005,180,POINT (-90.8564268 41.5908278)
1915060,Colfax,July 01 2003,2205,POINT (-93.240454 41.676085)
1910450,Cantril,July 01 2018,206,POINT (-92.0684662 40.6428412)
1936705,Holland,April 01 2010,282,POINT (-92.7988148 42.3999555)
1950430,Maurice,July 01 2013,274,POINT (-96.1827384 42.9660542)
1938415,Inwood,July 01 1997,824,POINT (-96.4350789 43.3092965)
1915465,Colwell,July 01 1992,93,POINT (-92.5910417 43.1577091)
1914115,Cleghorn,July 01 2018,217,POINT (-95.7126506 42.812537)
1932070,Grand River,April 01 1990,171,POINT (-93.9633868 40.8189407)
1917895,Curlew,July 01 1994,55,POINT (-94.7377341 42.9795272)
1983190,Weldon,July 01 2005,143,POINT (-93.7355473 40.8972891)
1930225,George,July 01 2012,1099,POINT (-96.0027092 43.341995)
1900595,Afton,July 01 2012,847,POINT (-94.1953729 41.0276183)
1907930,Braddyville,July 01 2007,166,POINT (-95.0311862 40.5806312)
1921045,De Soto,July 01 1996,1179,POINT (-94.009715 41.5363839)
1926895,Farmington,July 01 2003,729,POINT (-91.7390137 40.6388538)
1960420,Ottosen,July 01 1995,68,POINT (-94.3755469 42.8980883)
1950655,Maysville,July 01 2007,160,POINT (-90.718486 41.6495455)
1924645,Elgin,July 01 2003,655,POINT (-91.6355924 42.9553694)
1968295,Rockwell City,July 01 2015,2128,POINT (-94.6289164 42.3981318)
1949170,Mapleton,April 01 2010,1224,POINT (-95.7904763 42.167086)
1937200,Hornick,July 01 1999,219,POINT (-96.0970575 42.2304643)
1962760,Pierson,July 01 2006,354,POINT (-95.8652766 42.5428025)
1939585,Jesup,April 01 1990,2121,POINT (-92.0659027 42.4744701)
1903610,Auburn,April 01 1990,283,POINT (-94.8777258 42.2495688)
1930540,Gibson,July 01 2013,60,POINT (-92.3920455 41.480236)
1945795,Little Rock,April 01 1990,493,POINT (-95.880437 43.4454349)
1935310,Hawkeye,July 01 1991,463,POINT (-91.950354 42.9377417)
1928740,Franklin,July 01 2003,128,POINT (-91.5118028 40.6669652)
