state,totarea_ac,totareapub_ac,pct,state_rank,,,,,,,,,,,,,
AK,"365,039.40","325,700.00",89.22,1,"219,900.00",60.24,2,"105,800.00",28.98,2,"69,711.00","22,219.00","52,709.00","75,261.00",19,"2,100.00",86.8
AL,"32,480.00","1,235.91",3.81,41,840.11,2.59,33,395.8,1.22,35,110.92,665.03,6.5,57.66,43.43,168.11,0.2
AR,"33,328.00","3,949.90",11.85,22,"3,297.40",9.89,17,652.5,1.96,30,291.17,"2,586.07",101.4,318.76,518.44,93.32,0
AZ,"72,730.90","38,978.89",53.59,6,"29,894.99",41.1,6,"9,083.90",12.49,6,"14,249.14","11,254.99","2,672.60","1,718.26",98.79,"1,590.16","19,866.20"
CA,"99,822.70","42,288.38",42.36,7,"40,044.78",40.12,7,"2,243.60",2.25,29,"14,567.66","20,697.51","4,574.60",205.01,89.5,"3,525.91",520.9
CO,"66,387.20","26,458.89",39.86,9,"23,541.19",35.46,8,"2,917.70",4.39,24,"8,354.66","14,509.18",596.7,80.65,37,477.45,795.2
CT,"3,100.80",179.69,5.79,34,6.79,0.22,50,172.9,5.58,17,0,0.02,6,0.77,7.01,2.08,1.6
DE,"1,251.20",88.18,7.05,30,27.28,2.18,34,60.9,4.87,21,0,0,0,27.28,3.88,0,
FL,"34,558.10","9,069.36",26.24,14,"4,332.56",12.54,15,"4,736.80",13.71,4,25.28,"1,152.82","2,320.10",834.36,53.56,683.29,154.2
GA,"37,068.20","1,734.59",4.68,40,"1,384.89",3.74,29,349.7,0.94,40,0,865.08,40.8,479.01,336.3,568.09,0
HI,"4,110.70",549.08,13.36,21,524.88,12.77,14,24.2,0.59,43,0,0.01,235.4,289.47,230.54,0,
IA,"35,760.00",370.74,1.04,49,104.34,0.29,47,266.4,0.74,41,0.39,0,1.7,102.25,141.64,19.36,3.6
ID,"52,960.60","35,244.80",66.55,4,"32,496.40",61.36,4,"2,748.40",5.19,19,"11,850.00","20,458.28",99.2,88.92,56.07,8.69,642.2
IL,"35,579.50",836.78,2.35,44,430.88,1.21,40,405.9,1.14,37,0.23,292.73,0.01,137.91,217.52,43.35,0
IN,"22,956.80",522.35,2.28,46,216.65,0.94,43,305.7,1.33,35,0,196.49,10.3,9.86,124.34,144.26,0
KS,"52,366.70",479.5,0.92,50,167.2,0.32,46,312.3,0.6,42,0,108.18,0.7,58.32,338.38,134.34,7.2
KY,"25,428.50",899.8,3.54,42,789.3,3.1,32,110.5,0.43,47,0,693.75,93.4,2.15,351.13,229.89,0
LA,"27,882.20","2,131.70",7.65,28,"1,387.10",4.97,26,744.6,2.67,27,309.61,604.21,10.1,463.18,35.8,241.38,0.4
MA,"5,016.30",277.85,5.54,35,45.95,0.92,44,231.9,4.62,22,0,0,33.2,12.75,20.14,19.39,0.2
MD,"6,256.00",428.98,6.86,32,84.58,1.35,38,344.4,5.51,18,0,0,41.7,42.88,7.96,102.56,0
ME,"19,753.60","1,059.46",5.36,37,170.26,0.86,45,889.2,4.5,23,0,53.04,69.3,47.92,16.98,163.6,
MI,"36,357.80","8,168.77",22.47,15,"3,679.97",10.12,16,"4,488.80",12.35,7,74.85,"2,857.66",632.1,115.36,0.49,4.28,5.1
MN,"50,954.90","8,952.02",17.57,17,"3,572.92",7.01,20,"5,379.10",10.56,9,151.25,"2,837.65",141.6,442.42,31.35,2.92,728.8
MO,"44,094.70","2,655.01",6.02,33,"1,625.41",3.69,30,"1,029.60",2.33,28,2.26,"1,492.92",63.4,66.83,497.84,73.05,0
